record_id,material_key,material,condition,contamination,damage_level,weight_kg,matched_rule_id,matched_rule_name,recommendation,recovery_category,sustainability_score,reuse_score,recovery_score,circularity_level,assessment_status,requires_manual_review,estimated_co2_saved_kg,estimated_water_saved_liters,estimated_energy_saved_kwh,estimated_landfill_diverted_kg,dataset_type,dataset_purpose
TXT-00001,polyester,Polyester,excellent,none,minor,10.22,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,85,65,95,High,Completed,False,81.76,22484.0,183.96,10.22,Synthetic,Educational sustainability analytics
TXT-00002,acrylic,Acrylic,excellent,low,none,7.68,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,79,65,95,Medium,Completed,False,61.44,16896.0,138.24,7.68,Synthetic,Educational sustainability analytics
TXT-00003,cotton,Cotton,fair,medium,moderate,6.85,RULE-007,Cotton mechanical recycling,Mechanical Recycling,Recycling,41,90,75,Low,Completed,False,27.4,5822.5,61.65,5.82,Synthetic,Educational sustainability analytics
TXT-00004,linen,Linen,poor,none,severe,5.24,RULE-008,Linen mechanical recycling,Mechanical Recycling,Recycling,50,90,75,Low,Completed,False,20.96,4454.0,47.16,4.45,Synthetic,Educational sustainability analytics
TXT-00005,wool,Wool,good,medium,none,5.51,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,36,90,50,Low,Manual Review Required,True,5.51,826.5,11.02,2.2,Synthetic,Educational sustainability analytics
TXT-00006,denim,Denim,fair,medium,moderate,14.6,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,20,90,50,Low,Manual Review Required,True,14.6,2190.0,29.2,5.84,Synthetic,Educational sustainability analytics
TXT-00007,nylon,Nylon,excellent,none,moderate,5.55,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,60,65,75,Medium,Manual Review Required,True,16.65,3330.0,38.85,4.44,Synthetic,Educational sustainability analytics
TXT-00008,silk,Silk,fair,none,minor,1.38,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,74,90,80,Medium,Completed,False,7.59,1794.0,16.56,1.24,Synthetic,Educational sustainability analytics
TXT-00009,silk,Silk,poor,low,minor,2.61,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,44,90,75,Low,Manual Review Required,True,7.83,1566.0,18.27,2.09,Synthetic,Educational sustainability analytics
TXT-00010,denim,Denim,good,none,severe,9.22,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,64,90,75,Medium,Completed,False,27.66,5532.0,64.54,7.38,Synthetic,Educational sustainability analytics
TXT-00011,wool,Wool,fair,none,minor,13.9,RULE-009,Wool fiber recovery,Fiber Recovery,Recycling,72,90,75,Medium,Completed,False,41.7,8340.0,97.3,11.12,Synthetic,Educational sustainability analytics
