epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.684,0.90042,0.77778,1,0.63803,0.000472805,0.000472805,0.000472805
2,111.108,0.6354,0.77778,1,0.58382,0.000902156,0.000902156,0.000902156
3,164.975,0.58604,0.76667,1,0.74043,0.00128435,0.00128435,0.00128435
4,217.203,0.54302,0.76667,1,0.81765,0.00121679,0.00121679,0.00121679
5,292.4,0.50531,0.73333,1,0.74144,0.00114606,0.00114606,0.00114606
6,1763.24,0.40901,0.75556,1,1.02109,0.00107532,0.00107532,0.00107532
7,1820.62,0.37738,0.74444,1,0.86889,0.00100459,0.00100459,0.00100459
8,1872.69,0.34036,0.77778,1,1.05979,0.000933851,0.000933851,0.000933851
9,1925.87,0.307,0.75556,1,0.91998,0.000863116,0.000863116,0.000863116
10,1977.87,0.29462,0.81111,1,0.92257,0.00079238,0.00079238,0.00079238
11,2058.02,0.25263,0.76667,1,0.94946,0.000721645,0.000721645,0.000721645
12,2134.27,0.23513,0.8,1,1.00498,0.000650909,0.000650909,0.000650909
13,2190.69,0.23098,0.78889,1,0.89383,0.000580174,0.000580174,0.000580174
14,2244.98,0.1997,0.77778,1,0.91939,0.000509438,0.000509438,0.000509438
15,2297.55,0.18392,0.76667,1,0.98368,0.000438703,0.000438703,0.000438703
16,2364.52,0.17882,0.77778,1,0.9753,0.000367967,0.000367967,0.000367967
17,2478.08,0.1585,0.77778,1,0.93971,0.000297232,0.000297232,0.000297232
18,2533.21,0.15832,0.75556,1,0.98434,0.000226497,0.000226497,0.000226497
19,2587.21,0.13536,0.81111,1,0.96601,0.000155761,0.000155761,0.000155761
20,2641.13,0.13348,0.8,1,0.962,8.50255e-05,8.50255e-05,8.50255e-05
