thread_count,gsm,tensile_strength,shrinkage_percent,color_fastness,fabric_thickness,defect_count,elongation_percent,moisture_absorption,fabric_type,weave_type,finish_type,production_method,batch_id,roll_number,inspection_time_minutes,warehouse_id,operator_name,inspection_shift,machine_temperature,humidity_level,inspection_notes,fabric_quality
166.0,383.0,,7.744704049950375,1,0.8918650109186979,11,31.299227586147328,12.855776884152515,polyester,twill,raw,handloom,898423,363,45.95728855214211,WH-A,Suresh,Morning,28.148867853423464,67.81004065649529,Recheck,Low
273.0,107.0,106.50868247131318,1.1912724875707426,1,0.8723796793657493,4,8.092515471065386,7.224688616538931,polyester,satin,dyed,handloom,350678,4741,33.03598190215298,WH-C,Suresh,Morning,42.03328227932704,40.59651961129212,Looks fine,High
274.0,352.0,97.10041023227762,,3,1.231905937447576,3,24.134907407234422,12.276678892991015,silk,satin,printed,handloom,195742,1626,35.76849326239116,WH-A,Ramesh,Morning,35.45092300762731,37.79958779426086,OK,High
,200.0,17.8766595730076,4.001214071898298,1,0.320100038824047,12,18.334478601383665,14.732113965309093,linen,twill,printed,powerloom,940561,894,38.349273538769665,WH-A,Ramesh,Night,23.459327091876826,57.42094337944408,Minor issue,Low
115.0,348.0,62.74601273838057,2.5298633835795874,2,0.9037250439906256,14,6.396909153977013,11.692512381526502,cotton,plain,printed,powerloom,740914,2621,44.339097267433424,WH-A,Priya,Evening,33.87342572789581,42.44957033771112,Minor issue,Low
260.0,387.0,62.464771192383594,2.092396463701878,3,0.8997259867968601,0,21.027233739657024,11.439612121325041,cotton,twill,raw,handloom,812775,2738,57.96768712669034,WH-B,John,Night,26.619548878292612,46.61917333303154,Looks fine,High
193.0,390.0,44.54685185764761,5.8738627781246855,1,1.0704682268794563,5,25.631420441227633,11.032972946802637,linen,twill,printed,powerloom,852901,2451,17.803687849534867,WH-C,Suresh,Morning,44.270253031455994,40.6440368692487,Approved,Medium
248.0,370.0,50.60020097537647,4.968459019458437,1,0.1862842117516707,12,22.814084912861848,11.422064159075115,,plain,dyed,handloom,258596,2804,56.62095898666726,WH-C,Suresh,Evening,28.931483619307013,40.15182001884277,Approved,Low
95.0,91.0,21.106485516808895,1.6947541536998982,4,0.4000650465554243,14,6.868279018552418,9.054425485124128,polyester,,dyed,handloom,232045,1891,29.929684087000954,WH-B,Suresh,Morning,42.86456016080591,78.64318317527551,Recheck,High
280.0,286.0,98.76882006009019,2.4116487850987753,5,1.4966081079984628,8,20.97351593629991,12.68110259348764,linen,twill,raw,handloom,841383,4258,12.096194661903272,WH-B,Suresh,Morning,44.43095567094274,49.08944376755703,Looks fine,High
